text,topic,summary
"

	'In the kingdom where we now are there lives a Princess, who is extraordinarily clever; for she has read all the newspapers in the whole world, and has forgotten them again--so clever is she. She was lately, it is said, sitting on her throne--which is not very amusing after all--when she began humming an old tune, and it was just, 'Oh, why should I not be married?' 'That song is not without its meaning,' said she, and so then she was determined to marry; but she would have a husband who knew how to give an answer when he was spoken to--not one who looked only as if he were a great personage, for that is so tiresome. She then had all the ladies of the court drummed together; and when they heard her intention, all were very pleased, and said, 'We are very glad to hear it; it is the very thing we were thinking of.' You may believe every word I say,' said the Raven; 'for I have a tame sweetheart that hops about in the palace quite free, and it was she who told me all this.",the snow queen_segment_62.txt," 'Oh, why should I not be married?' said the Raven . 'That song is not without its meaning,' said she, and so then she was determined to marry ."
"

	'The great lady came driving towards the Hall, in her gilded chariot drawn by six horses. She had her three dainty daughters with her; they were indeed three lovely flowers. A rose, a lily and a pale hyacinth. The mother herself was a gorgeous tulip; she took no notice whatever of the crowd, who all stopped in their game to drop their curtsies and make their bows; one might have thought that, like a tulip, she was rather frail in the stalk and feared to bend her back. The rose, the lily, and the pale hyacinthâyes, I saw them all three. Whose May-lambs were they one day to become, thought I; their mates would be proud knightsâperhaps even princes!",the winds tale_segment_7.txt," The great lady came driving towards the Hall in her gilded chariot drawn by six horses . She had her three dainty daughters with her; they were indeed three lovely flowers . The rose, the lily, and the pale"
"

	'To judge by that sweet sound you have done one of your 'chores' very beautifully, Mrs. Basset, and in spite of the follies of our day, succeeded in keeping one girl healthy, happy and unspoiled,' said Emily, looking up into the peaceful old face with her own lovely one full of respect and envy.",a country christmas_segment_44.txt," 'To judge by that sweet sound you have done one of your 'chores' very beautifully, Mrs. Basset, said Emily . 'In spite the follies of our day, succeeded in keeping one girl healthy, happy and"
"

	

	VII

	THERE IS NO DEATH

	And Musya was happy!

	With arms folded behind her back, dressed in a prisoner's gown that was too large for her and that made her look like a youth wearing a borrowed costume, she walked back and forth in her cell, at a regular pace, never wearying. She had tucked up the long sleeves of her gown, and her thin and emaciated arms, the arms of a child, emerged from the flaring breadths like flower-stems from a coarse and unclean pitcher. The roughness of the stuff irritated the skin of her white and slender neck; sometimes, with her two hands, he released her throat, and felt cautiously for the spot where her skin was burning.",the seven that were hanged_segment_139.txt," Musya was happy! With arms folded behind her back, dressed in a prisoner's gown that was too large for her and that made her look like a youth wearing a borrowed costume ."
"

	Prometheus. Approaching death confuses your reason.

	Ahasverus. Yes, it is you; you have the Olympic forehead, strong and beautiful Titan; it is you indeed ... Are these your chains? I see upon them no trace of your tears.",life_segment_17.txt," The Olympic forehead, strong and beautiful Titan; it is you indeed ... Are these your chains? I see upon them no trace of your tears? Approaching death confuses your reason ."
"

	'Well, I'm glad I dreamed it, for it has made me love to be clean. Come, Maria, soap and scrub as much as you like, I won't kick and scream ever any more,' cried Betty, skipping about, glad to be safe in her pleasant home and no longer a dirty, lazy piggy girl.

	               Add  The Piggy Girl to your library.     ",the piggy girl_segment_14.txt," 'Well, I'm glad I dreamed it, for it has made me love to be clean. Come, Maria, soap and scrub as much as you like, I won't kick and scream ever any more,' cried Betty ."
"

	'Shall I tell you the reason?'

	'O, yes, mother, dear! What is the reason?'

	'God made everything that is good and beautiful.'

	'O, yes, I know that!'

	'Good and beautiful for the sake of man; because man is the highest thing of creation and nearest to God. All things below him were created for his good; that is, God made them for him to use in sustaining the life of his body or the life of his soul.'",amys question_segment_4.txt," 'O, yes, mother, dear! What is the reason?' she asked . 'God made everything that is good and beautiful,' she replied . 'Good and beautiful for the sake of man,' she said ."
"A stray Lamb stood drinking early one morning on the bank of a woodland stream. That very same morning a hungry Wolf came by farther up the stream, hunting for something to eat. He soon got his eyes on the Lamb. As a rule Mr. Wolf snapped up such delicious morsels without making any bones about it, but this Lamb looked so very helpless and innocent that the Wolf felt he ought to have some kind of an excuse for taking its life.",the wolf and the lamb_segment_0.txt," A stray Lamb stood drinking early one morning on the bank of a woodland stream . That very same morning a hungry Wolf came by farther up the stream, hunting for something to eat . As a rule Mr. Wolf snapped up such delicious mor"
"

	'I see some one! Who are you? Come and tell me!'

	'I'm Johnny Morris,' answered the boy, quite trembling with pleasure.

	'Did you make this nice hole?'

	'I just poked a brick, and it fell out.'

	'Papa won't mind. Is that your bird?'

	'No; it's me. I whistled.'

	'It's very pretty. Do it again,' commanded the voice, as if used to give orders.",a hole in the wall_segment_39.txt," The voice of a young boy called 'Johnny Morris' was heard in the background . The boy said: 'I just poked a brick, and it fell out.' The voice commanded the voice, as if used to give orders ."
"

	After a long time he came to a farmer's house, which lay in a stone country, and there he asked for a place. Well, they wanted a labourer, and the goodman set him to pick up stones off the field. Yes! Grumblegizzard gathered the stones from the field, and he took them so big that there were many horse-loads in them, and whether they were big or little, he stuffed them all into his pocket. 'Twas not long before he was done with that work, and then he wanted to know what he was to do next.",grumblegizzard_segment_6.txt," Grumblegizzard gathered the stones from the field and stuffed them into his pocket . 'Twas not long before he was done with that work, he wanted to know what he was to do next ."
"

	âUncle, come and sing with me; I like that voice of yours.â

	âTut, I am too old for that; take this indolent lad instead, his voice is fresh and young, and will chord well with yours.â

	âDo you know that pretty chanson about âLove and Wine, and the Seine to-morrow,â cousin Guy?â I asked, stealing a sly glance at my uncle.",a whisper in the dark_segment_60.txt," Uncle, come and sing with me; I like that voice of yours.â I asked, stealing a sly glance at my uncle . He replied, ""Tut, I am too old for that; take"
"

	'Please fetch me a drink of water,' he begged, 'that might give me strength enough so I can get me some solid food.'

	'Solid food!' said the Sheep. 'That means me, I suppose. If I should bring you a drink, it would only serve to wash me down your throat. Don't talk to me about a drink!'",the wolf and the sheep_segment_1.txt," 'Please fetch me a drink of water,' he begged, 'that might give me strength enough so I can get me some solid food' 'That means me, I suppose. If I should bring you a drink, it would only"
"

	But the little angel hanging by the hot stove began to melt. The lamp, which had been left burning at the entreaty of Sashka, filled the room with the smell of kerosene, and through its smoked glass threw a melancholy light upon a scene of gradual dissolution. The little angel seemed to stir. Over his rosy fingers there rolled thick drops which fell upon the bench. To the smell of kerosene was added the stifling scent of melting wax. The little angel gave a tremble as though on the point of flight, andâfell with a soft thud upon the hot flags.",the little angel_segment_64.txt," The little angel gave a tremble as though on the point of flight, and fell with a soft thud upon the hot flags . To the smell of kerosene was added the stifling scent of melting wax ."
"

	When his fear became intolerable, Vasily Kashirin tried to pray. There remained with him only a bitter, detestable, and enervating rancor against all the religious principles upon which his youth had been nourished, in the house of his father, a large merchant. He had no faith. But one day, in his childhood, he had heard some words that had made an impression upon him and that remained surrounded forever with a gentle poesy. These words were:",the seven that were hanged_segment_189.txt," Vasily Kashirin tried to pray, but there remained with him only a bitter, detestable rancor against all the religious principles upon which his youth had been nourished, in the house of his father, a large merchant ."
"

	The children danced about with their beautiful playthings: no one looked at the Tree except the old nurse, who peeped between the branches; but it was only to see if there was a fig or an apple left that had been forgotten.",the fir tree_segment_20.txt," Children danced about with their beautiful playthings: no one looked at the Tree except the old nurse, who peeped between the branches ."
"

	Aunt Plumy laid her hand on Sophie's head as she spoke, with such a motherly look that both girls drew nearer, and Randal resolved to put her in a book without delay.",a country christmas_segment_46.txt," Aunt Plumy laid her hand on Sophie's head as she spoke, with such a motherly look that both girls drew nearer . Randal resolved to put her in a book without delay ."
"

	He found himself strapped in. The aviator was in a fever of anxiety to get away. The engines made a ghastly splutter and noise. The thing started running along the ground. Suddenly it shot upwards, giving the swedes a last contemptuous kick. At twenty min- utes to eight that morning old Sam found himself be- ing borne right up above his fields and out to sea ! His breath came quickly. He was a little frightened.",a source of irritation_segment_20.txt," The engines made a ghastly splutter and noise . The thing started running along the ground . Suddenly it shot upwards, giving the swedes a last contemptuous kick ."
"

	Gradually he managed to monopolize her. From long walks it was but a step to take her home for luncheon. The hours of her visits lengthened. He had a room fitted up as a nursery and filled with the wonders of toyland. He took her to London to see the pantomimes; two days before Christmas, to buy presents for her relatives; and together they strung them upon the most wonderful Christmas-tree that the old hall of Chillingsworth had ever embraced. She had a donkey-cart, and a trained nurse, disguised as a maid, to wait upon her. Before a month had passed she was living in state at Chillingsworth and paying daily visits to her mother. Mrs. Root was deeply flattered, and apparently well content. Orth told her plainly that he should make the child independent, and educate her, meanwhile. Mrs. Root intended to spend six months in England, and Orth was in no hurry to alarm her by broaching his ultimate design.",the bell in the fog_segment_50.txt," Orth told her he should make the child independent, and educate her, meanwhile . He had a room fitted up as a nursery and filled with the wonders of toyland ."
"

	'The night was far too short; but it is not longer up yonder at that season. In the morning dawn the breeze began to blow, the mirror of the forest lake was covered with ripples, and all the delicate veils and flags fluttered away in the air. The waving garlands of spiders' web, the hanging bridges and balustrades, and whatever else they are called, flew away as if they were nothing at all. Six elves brought me back my sausage-peg, and asked me at the same time if I had any wish that they could gratify; so I asked them if they could tell me how soup was made on a sausage-peg.",soup on a sausage peg_segment_12.txt," The night was far too short; but it is not longer up yonder at that season . Six elves brought me back my sausage-peg, and asked me if I had any wish that they could gratify ."
"

	'Give him water as long as he can drink, and if he drops into a natural sleep, it may save him. I'll look in at midnight, when some change will probably take place. Nothing but sleep or a miracle will keep him now. Good night.'",the brothers_segment_21.txt," 'Give him water as long as he can drink, and if he drops into a natural sleep, it may save him. I'll look in at midnight, when some change will probably take place. Nothing but sleep or a miracle will"
"

	The evening was closing in when the Raven returned. 'Caw--caw!' said he. 'She sends you her compliments; and here is a roll for you. She took it out of the kitchen, where there is bread enough. You are hungry, no doubt. It is not possible for you to enter the palace, for you are barefooted: the guards in silver, and the lackeys in gold, would not allow it; but do not cry, you shall come in still. My sweetheart knows a little back stair that leads to the bedchamber, and she knows where she can get the key of it.'",the snow queen_segment_72.txt, The Raven returned to find a roll of bread in the kitchen . He said: 'She sends you her compliments; and here is a roll for you'
"

	'Late in the year, when the days were short and dark up here, and the fog envelops the red berries and bare branches with its cold moisture, I came along in a lively mood clearing the sky and snapping off the dead boughs. This is no great labour, it is true, yet it has to be done. Borreby Hall, the home of Waldemar Daa, was having a clean sweep of a different sort. The family enemy, OvÃ© Ramel from Basness, appeared, holding the mortgage of the Hall and all its contents. I drummed upon the cracked window panes, beat against the decaying doors, and whistled through all the cracks and crannies, whew! I did my best to prevent Herr OvÃ© taking a fancy to stay there. Ida and Anna Dorothea faced it bravely, although they shed some tears; Johanna stood pale and erect and bit her finger till it bled! Much that would help her! OvÃ© Ramel offered to let them stay on at the Castle for Waldemar Daa's lifetime, but he got no thanks for his offer; I was listening. I saw the ruined gentleman stiffen his neck and hold his head higher than ever. I beat against the walls and the old linden trees with such force that the thickest branch broke, although it was not a bit rotten. It fell across the gate like a broom, as if some one was about to sweep; and a sweeping there was indeed to be. I quite expected it. It was a grievous day and a hard time for them, but their wills were as stubborn as their necks were stiff. They had not a possession in the world but the clothes on their backs; yes, one thingâan alchemist's glass which had been bought and filled with the fragments scraped up from the floor. The treasure which promised much and fulfilled nothing. Waldemar Daa hid it in his bosom, took his staff in his hand, and, with his three daughters, the once wealthy gentleman walked out of Borreby Hall for the last time. I blew a cold blast upon his burning cheeks, I fluttered his grey beard and his long white hair; I sang such a tune as only I could sing. Whew! whew! away with them! away with them! This was the end of all their grandeur.",the winds tale_segment_25.txt," Borreby Hall, the home of Waldemar Daa, was having a clean sweep of a different sort . The family enemy, OvÃ© Ramel from Basness, appeared, holding the mortgage of the Hall and all"
"

	'Isn't it nice? Aren't you glad you came?' asked Sophie, as she led her friends into the parlor, which she had redeemed from its primness by putting bright chintz curtains to the windows, hemlock boughs over the old portraits, a china bowl of flowers on the table, and a splendid fire on the wide hearth.",a country christmas_segment_23.txt," Sophie's parlor is filled with hemlock boughs, chintz curtains, china bowl of flowers on the table, and a splendid fire on the wide hearth . Sophie had redeemed the parlor from its prim"
"

	Ahasverus. Wily Titan, you are deceiving me ... King,âI?

	Prometheus. You, King. Who else, then? The new world needs to be bound by a tradition, and none can speak of one to the other as you can. Thus there will be no gap between the two humanities. The perfect will proceed from the imperfect, and your lips will tell the new world its origin. You will relate to the new humanity all the ancient good and evil. And thus will you live anew like the tree whose dead branches are lopped off, only the flourishing ones being preserved, but here growth will be eternal.",life_segment_26.txt," The new world needs to be bound by a tradition, and none can speak of one to the other as you can . The perfect will proceed from the imperfect, and your lips will tell the new world its origin ."
"

	Finding his Master seated at the dinner table, he kicked up his heels and, with a loud bray, pranced giddily around the table, upsetting it as he did so. Then he planted his forefeet on his Master's knees and rolled out his tongue to lick the Master's face, as he had seen the Dog do. But his weight upset the chair, and Ass and man rolled over together in the pile of broken dishes from the table.",the ass and the lap dog_segment_3.txt," Ass prances giddily around the table, upsetting it as he did so . Then he planted his forefeet on his Master's knees and rolled out his tongue to lick the Master's face . But his weight upset the chair,"
"

	In the hall a dim light burned. He listened intently, still with a humorous sense that he felt as like a burglar as any he had ever created. But he experienced no impulse to steal and complete the chain of his sensations. His brain, which registered impressions automatically, was quite normal.

	He stole up the stair. Not a step creaked. The upper hall also was dimly lit. He knew that Madame had given the jeune fille the room next to hers, but the connecting door was sure to be closed, for the old lady was a light sleeper and minimized disturbance.",the sacrificial alter_segment_49.txt," He listened intently, still with a humorous sense that he felt as like a burglar as any he had ever created . But he experienced no impulse to steal and complete the chain of his sensations . His brain, which registered impressions automatically"
"

	'My dear comrades! My dear comrades!'

	And in this man who wept, and who smiled through his tears, no oneânot the judges, or his comrades, or himselfâwould have recognized the cold and haughty Werner, skeptical and insolent.",the seven that were hanged_segment_212.txt, Werner wept and smiled through his tears . 'My dear comrades! My dear comrades!' Werner said .
"

	'Yes! yes! I am good to do that,' said Grumblegizzard.

	No man had ever left that castle alive; those who reached it lay there slain and torn to bits, and the king thought he should never see him more, if he only got him to go thither.",grumblegizzard_segment_44.txt, No man had ever left that castle alive; those who reached it lay there slain and torn to bits . The king thought he should never see him more if he only got him to go thither .
"

	He spoke quite naturally, and lay down again, while I returned to my charge, thinking that this paroxysm was probably his last. But by another hour I perceived a hopeful change, for the tremor had subsided, the cold dew was gone, his breathing was more regular, and Sleep, the healer, had descended to save or take him gently away. Doctor Franck looked in at midnight, bade me keep all cool and quiet, and not fail to administer a certain draught as soon as the captain woke. Very much relieved, I laid my head on my arms, uncomfortably folded on the little table, and fancied I was about to perform one of the feats which practice renders possible,--'sleeping with one eye open,' as we say: a half-and-half doze, for all senses sleep but that of hearing; the faintest murmur, sigh, or motion will break it, and give one back one's wits much brightened by the brief permission to 'stand at ease.' On this night, the experiment was a failure, for previous vigils, confinement, and much care had rendered naps a dangerous indulgence. Having roused half a dozen times in an hour to find all quiet, I dropped my heavy head on my arms, and, drowsily resolving to look up again in fifteen minutes, fell fast asleep.",the brothers_segment_29.txt," Doctor Franck looked in at midnight, bade me keep cool and quiet, and not fail to administer a certain draught as soon as the captain woke . He spoke quite naturally, and lay down again, while I returned to my"
"

	'Let me remind your lordship,' said the Dog, his words interrupted now and then as he dodged a snap of the Wolf's teeth, 'how unpleasant it would be to eat me now. Look at my ribs. I am nothing but skin and bone. But let me tell you something in private. In a few days my master will give a wedding feast for his only daughter. You can guess how fine and fat I will grow on the scraps from the table. Then is the time to eat me.'",the wolf and the lean dog_segment_1.txt, The Dog said: 'Let me remind your lordship how unpleasant it would be to eat me now. But let me tell you something in private. In a few days my master will give a wedding feast for his only daughter'
"

	The apple-tree was not broken down; for Anthony himself was struck with a fever, which caused him to break down, and confined him to his bed. But something occurred to raise him up again. What was it? A medicine was offered to him, which he was obliged to take: a bitter remedy, at which the sick body and the oppressed spirit alike shuddered. Anthony's father lost all his property, and, from being known as one of the richest merchants, he became very poor. Dark days, heavy trials, with poverty at the door, came rolling into the house upon them like the waves of the sea. Sorrow and suffering deprived Anthony's father of his strength, so that he had something else to think of besides nursing his love-sorrows and his anger against Molly. He had to take his father's place, to give orders, to act with energy, to help, and, at last, to go out into the world and earn his bread. Anthony went to Bremen, and there he learnt what poverty and hard living really were. These things often harden the character, but sometimes soften the heart, even too much.",the old bachelors nightcap_segment_20.txt," Anthony's father lost all his property and, from being known as one of the richest merchants, he became very poor . Dark days, heavy trials, with poverty at the door, came rolling into the house upon them like the waves of"
"

	' Well, old thing, you were very nearly in hell. Who the devil are you ? '

	Some one else came up, and the two of them were discussing him. One of them said :",a source of irritation_segment_42.txt, 'You were very nearly in hell. Who the devil are you ? ' The two men were discussing him when another came up .
"

	âI shall be obliged to propose to the hair-brush,â thought the shirt collar; so he remarked one day, âIt is wonderful what beautiful hair you have, my little lady. Have you never thought of being engaged?â

	âYou might know I should think of it,â answered the hair brush; âI am engaged to the boot-jack.â

	âEngaged!â cried the shirt collar, ânow there is no one left to propose to;â and then he pretended to despise all love-making.",the shirt collar_segment_10.txt, The hair brush was engaged to the boot-jack . He pretended to despise all love-making .
"

	''You poor little mouse,' she said, as she peeped into my ugly cage; and she drew out the iron rod, and forth I jumped to the window board, and from thence to the roof spout. Free! free! I thought only of that, and not of the goal of my journey.",soup on a sausage peg_segment_33.txt," She drew out the iron rod, and forth I jumped to the window board, and from thence to the roof spout . Free! free! I thought only of that, and not of the goal of my journey ."
"

	This time Louis was petrified. 'But no! No!'

	M. Cesar rose and laid his hand solemnly on his young friend's shoulder. 'For your art, my son, for your divine gift. For both you would lay down your life. Is it not? Another year of this unnatural existence and you will go sterile. And what substitute for you in the long years ahead? Your mind needs a powerful stimulant and at once. The cup approaches your lip. Will you drink or will you turn it upside down?'",the sacrificial alter_segment_29.txt," Louis was petrified. 'But no! No!' Cesar rose and laid his hand solemnly on his young friend's shoulder. 'For your art, my son, for your divine gift. For both you would lay down your"
"

	'Yes, they creaked,' said the Raven. 'And on he went boldly up to the Princess, who was sitting on a pearl as large as a spinning-wheel. All the ladies of the court, with their attendants and attendants' attendants, and all the cavaliers, with their gentlemen and gentlemen's gentlemen, stood round; and the nearer they stood to the door, the prouder they looked. It was hardly possible to look at the gentleman's gentleman, so very haughtily did he stand in the doorway.'",the snow queen_segment_69.txt," All the ladies of the court, with their attendants and attendants' attendants, stood round; and the nearer they stood to the door, the prouder they looked . It was hardly possible to look at the gentleman's gentleman, so"
"

	'Now we are near the church. There it stands on the hill, shaded by the great oak trees, one of which is half dead. See, here we are at the blacksmith's forge. How the fire burns! And the half-clad men are striking the hot iron with the hammer, so that the sparks fly about. Now then, away to the nobleman's beautiful estate!' And the boy saw all that the little girl spoke of as she sat behind him on the stick, for it passed before him although they were only galloping round the grassplot. Then they played together in a side walk and raked up the earth to make a little garden. Then she took elder flowers out of her hair and planted them, and they grew just like those which he had heard the old people talking about, and which they had planted in their young days. They walked about hand in hand too, just as the old people had done when they were children, but they did not go up the round tower nor to Fredericksburg garden. No; but the little girl seized the boy round the waist, and they rode all over the whole country (sometimes it was spring, then summer; then autumn and winter followed), while thousands of images were presented to the boy's eyes and heart, and the little girl constantly sang to him, 'You must never forget all this.' And through their whole flight the elder tree sent forth the sweetest fragrance.",elder tree mother_segment_25.txt," The boy saw all that the little girl spoke of as she sat behind him on the stick, for it passed before him although they were only galloping round the grassplot . Then they played together in a side walk and raked up"
"

	' What is your name ? Where do you come from ? Your age ? The name and birthplace of your parents ? ' He seemed intensely interested, and also pulled his hair and beard to see if they came off. So well and naturally did he and the aviator speak English that after a voluble cross-examination they drew apart, and con- tinued the conversation in that language. And the extraordinary conversation was of this nature:",a source of irritation_segment_26.txt," He seemed intensely interested, and pulled his hair and beard to see if they came off . So well and naturally did he and the aviator speak English that after a voluble cross-examination they drew apart ."
"

	'You wanted to see this tree go down, so stand from under and I'll show you how it's done,' said the farmer, taking up his axe, not unwilling to gratify his guests and display his manly accomplishments at the same time.",a country christmas_segment_107.txt," 'You wanted to see this tree go down, so stand from under and I'll show you how it's done,' said the farmer ."
"

	Clarence stood in with the Toughest Push in Town, and thus became acquainted with the Snares and Temptations of the World. He learned to Chew Tobacco and Spit through his Teeth, shoot Craps and Rush the Can.",the fable of the parents who tinkered with the offspring_segment_5.txt," Clarence stood in with the Toughest Push in Town . He learned to Chew Tobacco and Spit through his Teeth, shoot Craps and Rush the Can ."
"

	âNo, he didnât marry Mehetabel.â

	âMay I inquire why he didnât marry Mehetabel?â

	âNever asked her. Might have married the girl forty times. Old Elkinâs daughter over at Kââ, sheâd have had him quick enough. Seven years off and on, he kept company with Mehetabel, and then she died.â",miss mehetabels son_segment_4.txt," Elkin kept company with Mehetabel for seven years off and on, and then she died.âs daughter over at Kâ�™d have had him quick enough, he said ."
"

	At first it seemed to divine Augustus as if a friend were looking at him, so soft, so alluring, so gently fascinating was the gaze of Lazarus. It promised not horror but quiet rest, and the Infinite dwelt there as a fond mistress, a compassionate sister, a mother. And ever stronger grew its gentle embrace, until he felt, as it were, the breath of a mouth hungry for kisses... Then it seemed as if iron bones protruded in a ravenous grip, and closed upon him in an iron band; and cold nails touched his heart, and slowly, slowly sank into it.",lazarus_segment_67.txt," At first it seemed to divine Augustus as if a friend were looking at him, so soft, so alluring was the gaze of Lazarus . Then it seemed as if iron bones protruded in a ravenous grip, and closed upon him"
"

	Then they carried him across the sea on the saddest and most gorgeous ship that was ever mirrored in the azure waves of the Mediterranean. There were many people aboard, but the ship was silent and still as a coffin, and the water seemed to moan as it parted before the short curved prow. Lazarus sat lonely, baring his head to the sun, and listening in silence to the splashing of the waters. Further away the seamen and the ambassadors gathered like a crowd of distressed shadows. If a thunderstorm had happened to burst upon them at that time or the wind had overwhelmed the red sails, the ship would probably have perished, for none of those who were on her had strength or desire enough to fight for life. With supreme effort some went to the side of the ship and eagerly gazed at the blue, transparent abyss. Perhaps they imagined they saw a naiad flashing a pink shoulder through the waves, or an insanely joyous and drunken centaur galloping by, splashing up the water with his hoofs. But the sea was deserted and mute, and so was the watery abyss.",lazarus_segment_48.txt," Lazarus sat lonely on the ship, baring his head to the sun, and listening in silence to the splashing of the waters . Further away the seamen and the ambassadors gathered like a crowd of distressed shadows ."
"

	As the memory of this bitter wrong, this double bereavement, burned in his sore heart, the devil that lurks in every strong man's blood leaped up; he put his hand upon his brother's throat, and, watching the white face before him, muttered low between his teeth,--",the brothers_segment_51.txt," As the memory of this bitter wrong, this double bereavement, burned in his sore heart, the devil that lurks in every strong man's blood leaped up . He put his hand upon his brother's throat, and, watching"
"

	One falsehood leads to another.

	               Add  The Monkey And The Dolphin to your library.     ",the monkey and the dolphin_segment_4.txt, The Monkey And The Dolphin is a classic novel about the monkey and the dolphin . Add The Monkey and The Dolphin to your library's collection of books .
"

	Down rushed the tree at last, and, leaving them to examine a crow's nest in its branches, Saul went off to his men, as if he found the praises of his prowess rather too much for him.",a country christmas_segment_110.txt," Down rushed the tree at last, leaving them to examine a crow's nest in its branches . Saul went off to his men, as if he found the praises of his prowess rather too much for him ."
